# danRer7.unannotated.name	danRer7.unannotated.chrom	danRer7.unannotated.strand	danRer7.unannotated.txStart	danRer7.unannotated.txEnd	danRer7.unannotated.cdsStart	danRer7.unannotated.cdsEnd	danRer7.unannotated.exonCount	danRer7.unannotated.exonStarts	danRer7.unannotated.exonEnds	danRer7.unannotated.name2	danRer7.unannotated.product	danRer7.unannotated.mrnaAcc	danRer7.unannotated.protAcc
NM_131263-10|chr19(+)	chr19	+	45287363	45290687	45288060	45290397	7	45287363,45288047,45288519,45288785,45289169,45289623,45290272	45287424,45288204,45288699,45289082,45289320,45289880,45290687	eef1a1l1	elongation factor 1-alpha	NM_131263	NM_131263-10|chr19(+)
NM_001083814-11|chr19(+)	chr19	+	46866730	46894948	46866920	46893772	26	46866730,46875875,46876618,46877794,46878481,46880619,46881033,46881332,46881603,46883324,46883657,46885416,46886279,46886536,46886962,46889118,46889898,46891322,46891490,46891946,46892101,46892470,46893072,46893667,46893985,46894817	46866971,46876140,46876774,46877947,46879012,46880781,46881230,46881453,46881797,46883436,46883821,46885537,46886413,46886678,46887032,46889202,46889934,46891404,46891581,46892023,46892236,46892593,46893227,46893776,46894590,46894948	ptpro	receptor-type tyrosine-protein phosphatase O precursor	NM_001083814	NM_001083814-11|chr19(+)
NM_213240-12|chr19(+)	chr19	+	46959560	46971731	46964135	46968976	9	46959560,46963876,46964060,46965621,46966838,46968171,46969426,46970105,46971641	46959621,46964016,46964366,46965781,46966962,46969416,46970074,46971627,46971731	zgc:77247	dual specificity protein phosphatase 16	NM_213240	NM_213240-12|chr19(+)
NM_001002866-13|chr19(+)	chr19	+	49957401	49963584	49957425	49963556	5	49957401,49958691,49960225,49960768,49963490	49957428,49958793,49960320,49960868,49963584	rpl14	60S ribosomal protein L14	NM_001002866	NM_001002866-13|chr19(+)
NM_001004111-14|chr20(+)	chr20	+	756818	800528	756823	799390	34	756818,762218,762467,764122,765337,766089,766234,767228,768685,773131,775465,775809,777170,778868,779029,779467,780313,780618,780771,781777,781997,784064,784298,787624,788020,789567,791366,795255,795881,796501,798698,799190,799835,800220	756940,762288,762541,764252,765443,766145,766332,767393,768766,773312,775610,775967,777262,778941,779157,779563,780484,780657,780865,781908,782075,784194,784389,787775,788229,789646,791527,795359,796013,796531,798920,799817,800204,800528	myo6a	myosin VIa	NM_001004111	NM_001004111-14|chr20(+)
NM_001004111-15|chr20(+)	chr20	+	756818	800528	756823	799390	35	756818,762218,762467,764122,765337,766089,766234,767228,768685,773131,775465,775809,777170,778868,779029,779467,780313,780618,780771,781777,781997,784064,784298,787624,788020,789567,791366,792101,793144,795255,795881,798698,799190,799835,800220	756940,762288,762541,764252,765443,766145,766332,767393,768766,773312,775610,775967,777262,778941,779157,779563,780484,780657,780865,781908,782075,784194,784389,787775,788229,789646,791527,792137,793183,795359,796013,798920,799817,800204,800528	myo6a	myosin VIa	NM_001004111	NM_001004111-15|chr20(+)
NM_001080047-16|chr20(+)	chr20	+	5594945	5998429	5595945	5989756	19	5594945,5613594,5621355,5705782,5711600,5728686,5731889,5761525,5770469,5770687,5774126,5776328,5780769,5918657,5953275,5963498,5964660,5989642,5996471	5596642,5613612,5621385,5706084,5711762,5729125,5732273,5761729,5770589,5771069,5774317,5776502,5780889,5918839,5953447,5963588,5964971,5990206,5998429	nrxn3b	neurexin 3b precursor	NM_001080047	NM_001080047-16|chr20(+)
NM_001030168-17|chr20(+)	chr20	+	13318058	13435784	13318105	13435079	24	13318058,13334866,13340538,13346511,13352355,13355297,13356082,13361373,13361651,13362023,13365990,13377527,13377820,13378217,13379259,13388156,13400621,13406078,13406220,13415985,13423047,13430715,13432614,13434926	13318234,13334995,13340664,13346572,13352453,13355377,13356202,13361483,13361717,13362096,13366099,13377659,13377852,13378345,13379329,13388244,13400806,13406118,13406369,13416112,13423122,13430848,13432759,13435784	enpp1	ectonucleotide pyrophosphatase/phosphodiesterase family member 1	NM_001030168	NM_001030168-17|chr20(+)
NM_001044824-18|chr20(+)	chr20	+	20803186	20885786	20803869	20884616	17	20803186,20803792,20833699,20840937,20859768,20865416,20867215,20868030,20868427,20874819,20875027,20877117,20880099,20881808,20882025,20883863,20884574	20803265,20803878,20833847,20841008,20859870,20865591,20867412,20868195,20868617,20874944,20875517,20877854,20880237,20881942,20882192,20884063,20885786	ppp1r13b	apoptosis-stimulating of p53 protein 1	NM_001044824	NM_001044824-18|chr20(+)
NM_001079835-19|chr20(+)	chr20	+	28274901	28283618	28275193	28282936	10	28274901,28275382,28275914,28276615,28278672,28279095,28279451,28281373,28282568,28282930	28275247,28275643,28275972,28276879,28278733,28279226,28279621,28282091,28282677,28283618	dll4	delta-like protein 4 precursor	NM_001079835	NM_001079835-19|chr20(+)
NM_001033595-20|chr20(+)	chr20	+	35083271	35093861	35083389	35093273	14	35083271,35083576,35083737,35087332,35087510,35088329,35088520,35088882,35089314,35089524,35089942,35091388,35092614,35093222	35083564,35083728,35083828,35087406,35087650,35088429,35088633,35089146,35089434,35089822,35090230,35091678,35092713,35093861	hnrnpu	heterogeneous nuclear ribonucleoprotein U isoform 2	NM_001033595	NM_001033595-20|chr20(+)
NM_001001592-21|chr20(+)	chr20	+	35083268	35095054	35083389	35091559	12	35083268,35087332,35087510,35088329,35088520,35088882,35089314,35089524,35089942,35091459,35092614,35093222	35083828,35087406,35087650,35088429,35088633,35089146,35089434,35089822,35090138,35091678,35092713,35095054	hnrnpu	heterogeneous nuclear ribonucleoprotein U isoform 1	NM_001001592	NM_001001592-21|chr20(+)
NM_001163291-22|chr20(+)	chr20	+	37417743	37487917	37417743	37487917	23	37417743,37438402,37447621,37450963,37461552,37461779,37461915,37462382,37464021,37464276,37464443,37466973,37468205,37472424,37473212,37473360,37476355,37479035,37479423,37482014,37483717,37484825,37487900	37417832,37439023,37447684,37451032,37461635,37461832,37461957,37462522,37464136,37464365,37464645,37467139,37468346,37472544,37473258,37473467,37476483,37479304,37479526,37482298,37483819,37484978,37487917	gpr126	G-protein coupled receptor 126 precursor	NM_001163291	NM_001163291-22|chr20(+)
NM_200557-23|chr20(+)	chr20	+	42278708	42313165	42278845	42312547	8	42278708,42292513,42300746,42301241,42306788,42307043,42309663,42312428	42279127,42292678,42300922,42301407,42306884,42307208,42309838,42313165	gopc	Golgi-associated PDZ and coiled-coil motif-containing protein	NM_200557	NM_200557-23|chr20(+)
NM_001025524-24|chr20(+)	chr20	+	46743170	46774074	46743303	46773884	15	46743170,46744063,46745664,46748808,46748933,46753291,46756938,46757190,46763985,46764631,46766619,46768159,46768394,46770064,46773880	46743339,46744106,46745779,46748849,46749093,46753598,46757099,46757291,46764145,46764855,46766752,46768296,46768471,46770171,46774074	zc3h14	zinc finger CCCH domain-containing protein 14	NM_001025524	NM_001025524-24|chr20(+)
NM_001001944-25|chr20(+)	chr20	+	48985938	49074003	48986127	49073015	30	48985938,48989369,48989579,48998392,49001703,49001844,49004663,49004884,49006911,49007155,49008272,49008479,49010363,49010581,49014499,49017141,49023695,49028450,49028665,49033729,49033892,49035377,49038949,49039161,49040185,49040337,49047797,49063122,49070203,49072952	48986202,48989497,48989691,48998504,49001762,49001934,49004736,49004935,49007069,49007230,49008406,49008537,49010471,49010626,49014637,49017236,49023831,49028558,49028755,49033802,49033976,49035475,49039029,49039218,49040254,49040466,49047964,49063162,49070315,49074003	xrn2	5'-3' exoribonuclease 2	NM_001001944	NM_001001944-25|chr20(+)
NM_001089543-26|chr21(+)	chr21	+	8734619	8909627	8770544	8909075	45	8734619,8770539,8783362,8786850,8788104,8794525,8800900,8815775,8817012,8819635,8821422,8821582,8824043,8824757,8825484,8828573,8828884,8830541,8836180,8843921,8846433,8847445,8849905,8854505,8857330,8859687,8865713,8866903,8870818,8878551,8889749,8890295,8893388,8895220,8895661,8896958,8899092,8899302,8901764,8901942,8904758,8904934,8907032,8908841,8908997	8734922,8770659,8783532,8786916,8788290,8794619,8801464,8815865,8817103,8819813,8821497,8821757,8824194,8824896,8825637,8828756,8829047,8830908,8836278,8844011,8846541,8847577,8850333,8854634,8857424,8859773,8865812,8867241,8870945,8878707,8889921,8890506,8893474,8895282,8895817,8897124,8899199,8899358,8901862,8902091,8904849,8905272,8907248,8908904,8909627	ptpn13	tyrosine-protein phosphatase non-receptor type 13	NM_001089543	NM_001089543-26|chr21(+)
NM_001089543-27|chr21(+)	chr21	+	8734619	8909627	8770544	8909075	45	8734619,8770539,8783362,8786850,8788104,8794525,8800900,8815775,8817012,8819635,8821422,8821582,8824043,8824757,8825484,8828573,8828884,8830541,8836180,8838544,8843921,8846433,8847445,8849905,8857330,8859687,8865713,8866903,8870818,8878551,8889749,8890295,8893388,8895220,8895661,8896958,8899092,8899302,8901764,8901942,8904758,8904934,8907032,8908841,8908997	8734922,8770659,8783532,8786916,8788290,8794619,8801464,8815865,8817103,8819813,8821497,8821757,8824194,8824896,8825637,8828756,8829047,8830908,8836278,8838604,8844011,8846541,8847577,8850333,8857424,8859773,8865812,8867241,8870945,8878707,8889921,8890506,8893474,8895282,8895817,8897124,8899199,8899358,8901862,8902091,8904849,8905272,8907248,8908904,8909627	ptpn13	tyrosine-protein phosphatase non-receptor type 13	NM_001089543	NM_001089543-27|chr21(+)
NM_001033750-28|chr21(+)	chr21	+	9082003	9110056	9082003	9109705	10	9082003,9084345,9088580,9091064,9093595,9096807,9101242,9103747,9107441,9109603	9082093,9084471,9088674,9091165,9093688,9096940,9101331,9103897,9107540,9110056	agxt2	alanine--glyoxylate aminotransferase 2, mitochondrial	NM_001033750	NM_001033750-28|chr21(+)
NM_001033750-29|chr21(+)	chr21	+	9082003	9110056	9082003	9109705	10	9082003,9082179,9084345,9088580,9091064,9093595,9096807,9101242,9107441,9109603	9082093,9082370,9084471,9088674,9091165,9093688,9096940,9101331,9107540,9110056	agxt2	alanine--glyoxylate aminotransferase 2, mitochondrial	NM_001033750	NM_001033750-29|chr21(+)
NM_001083812-30|chr21(+)	chr21	+	10173112	10198974	10173169	10196754	11	10173112,10178265,10183035,10183243,10186277,10188249,10188510,10190457,10193483,10193653,10196637	10173301,10178313,10183157,10183407,10186534,10188374,10188577,10191112,10193547,10193825,10198974	ell2	elongation factor, RNA polymerase II, 2	NM_001083812	NM_001083812-30|chr21(+)
NM_001098488-31|chr21(+)	chr21	+	11352607	11419551	11366830	11419214	55	11352607,11366827,11367645,11368661,11368918,11369992,11371066,11371334,11372920,11373098,11373345,11373552,11373772,11374079,11374694,11374975,11375352,11375608,11377674,11377865,11379030,11383445,11383741,11385556,11385719,11385983,11387810,11388052,11389516,11389982,11390164,11390457,11390695,11392086,11392485,11395263,11395495,11397123,11397321,11398433,11398653,11404766,11404982,11405190,11405435,11407505,11407788,11410115,11411841,11414174,11416557,11418313,11418449,11418860,11419088	11352674,11367067,11367771,11368802,11369199,11370137,11371221,11371470,11373022,11373236,11373456,11373630,11373928,11374284,11374876,11375219,11375475,11375826,11377767,11378000,11379179,11383644,11383846,11385589,11385755,11386031,11387902,11388197,11389698,11390082,11390362,11390604,11390799,11392249,11392500,11395395,11395633,11397228,11397530,11398554,11398775,11404899,11405081,11405350,11405512,11407715,11408085,11410228,11411859,11414229,11416754,11418367,11418596,11419008,11419551	spna2	spectrin alpha chain, brain	NM_001098488	NM_001098488-31|chr21(+)
NM_001098488-32|chr21(+)	chr21	+	11352607	11419551	11366830	11419214	55	11352607,11366827,11367645,11368661,11368918,11369992,11371066,11371334,11372920,11373098,11373345,11373552,11373772,11374079,11374694,11374975,11375352,11375608,11377674,11377865,11379030,11380606,11383445,11383741,11385556,11385719,11385983,11387810,11388052,11389516,11389982,11390164,11390457,11390695,11392086,11395263,11395495,11397123,11397321,11398433,11398653,11404766,11404982,11405190,11405435,11407505,11407788,11410115,11411841,11414174,11416557,11418313,11418449,11418860,11419088	11352674,11367067,11367771,11368802,11369199,11370137,11371221,11371470,11373022,11373236,11373456,11373630,11373928,11374284,11374876,11375219,11375475,11375826,11377767,11378000,11379179,11380666,11383644,11383846,11385589,11385755,11386031,11387902,11388197,11389698,11390082,11390362,11390604,11390799,11392249,11395395,11395633,11397228,11397530,11398554,11398775,11404899,11405081,11405350,11405512,11407715,11408085,11410228,11411859,11414229,11416754,11418367,11418596,11419008,11419551	spna2	spectrin alpha chain, brain	NM_001098488	NM_001098488-32|chr21(+)
NM_001098488-33|chr21(+)	chr21	+	11352607	11419551	11366830	11419214	55	11352607,11366827,11367645,11368661,11368918,11369992,11371066,11371334,11372920,11373098,11373345,11373552,11373772,11374079,11374694,11374975,11375352,11375608,11377674,11377865,11379030,11380606,11383445,11383741,11385556,11385719,11385983,11387810,11388052,11389516,11389982,11390164,11390457,11390695,11392086,11392485,11395263,11395495,11397123,11397321,11398433,11398653,11404766,11404982,11405190,11405435,11407505,11407788,11410115,11414174,11416557,11418313,11418449,11418860,11419088	11352674,11367067,11367771,11368802,11369199,11370137,11371221,11371470,11373022,11373236,11373456,11373630,11373928,11374284,11374876,11375219,11375475,11375826,11377767,11378000,11379179,11380666,11383644,11383846,11385589,11385755,11386031,11387902,11388197,11389698,11390082,11390362,11390604,11390799,11392249,11392500,11395395,11395633,11397228,11397530,11398554,11398775,11404899,11405081,11405350,11405512,11407715,11408085,11410228,11414229,11416754,11418367,11418596,11419008,11419551	spna2	spectrin alpha chain, brain	NM_001098488	NM_001098488-33|chr21(+)
NM_131448-34|chr21(+)	chr21	+	13804324	13821845	13804341	13821451	9	13804324,13806575,13806824,13808162,13810289,13812035,13814301,13818735,13821411	13804425,13806687,13806933,13808300,13810417,13812202,13814492,13818867,13821845	smarcb1b	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1b	NM_131448	NM_131448-34|chr21(+)
NM_131888-35|chr21(+)	chr21	+	13959616	14019385	13991357	14018612	22	13959616,13991331,13993532,13995852,14000028,14000354,14002173,14004397,14004691,14006333,14006792,14007075,14009175,14009716,14009936,14010175,14011894,14013828,14014255,14014470,14015926,14018537	13959955,13991378,13993614,13996266,14000113,14000428,14002310,14004488,14004768,14006370,14006890,14007195,14009342,14009852,14010086,14010269,14011971,14013963,14014381,14014622,14016062,14019385	ptpra	receptor-type tyrosine-protein phosphatase alpha precursor	NM_131888	NM_131888-35|chr21(+)
NM_001123389-36|chr21(+)	chr21	+	16887255	16897577	16889186	16895702	11	16887255,16889031,16889850,16890078,16890310,16890602,16891059,16891294,16892794,16893105,16895595	16887418,16889387,16889988,16890214,16890501,16890974,16891188,16891501,16893012,16893389,16897577	brd3a	bromodomain containing 3a	NM_001123389	NM_001123389-36|chr21(+)
NM_001113551-37|chr21(+)	chr21	+	23230899	23690148	23230902	23690148	11	23230899,23565124,23579413,23583772,23602494,23612284,23619570,23639862,23658825,23689082,23690029	23230993,23565271,23579566,23583910,23602653,23612381,23619743,23639946,23658858,23689211,23690148	cadm1a	cell adhesion molecule 1a precursor	NM_001113551	NM_001113551-37|chr21(+)
NM_001113551-38|chr21(+)	chr21	+	23230899	23690148	23230902	23690148	11	23230899,23530029,23565124,23579413,23583772,23602494,23612284,23619570,23639862,23689082,23690029	23230993,23530047,23565271,23579566,23583910,23602653,23612381,23619743,23639946,23689211,23690148	cadm1a	cell adhesion molecule 1a precursor	NM_001113551	NM_001113551-38|chr21(+)
NM_001198550-39|chr21(+)	chr21	+	28352865	28470211	28353078	28468480	13	28352865,28401738,28433540,28437716,28444323,28444600,28454206,28454447,28457133,28459048,28460633,28462856,28468301	28353133,28401939,28433665,28437828,28444469,28444740,28454284,28454542,28457259,28459126,28460718,28462954,28470211	ppp3ca	protein phosphatase 3, catalytic subunit, alpha	NM_001198550	NM_001198550-39|chr21(+)
NM_001033107-40|chr21(+)	chr21	+	42107793	42122467	42107864	42121935	14	42107793,42108673,42109468,42111535,42111827,42113685,42115486,42115879,42116224,42116531,42119287,42121478,42121610,42121866	42107880,42108726,42109555,42111720,42111892,42113812,42115617,42116023,42116345,42116650,42119391,42121518,42121778,42122467	dkc1	dyskerin	NM_001033107	NM_001033107-40|chr21(+)
NM_001080615-41|chr22(+)	chr22	+	219764	228985	219995	228610	6	219764,219825,225175,228016,228520,228689	219810,220066,225371,228083,228647,228985	zgc:153176	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	NM_001080615	NM_001080615-41|chr22(+)
NM_001080577-42|chr22(+)	chr22	+	413882	440828	413882	440828	28	413882,414285,416305,416537,418477,418718,420905,421362,421828,422291,422519,423504,423762,424069,424248,426528,427720,428218,431506,432106,432566,435506,436306,436624,439950,440129,440365,440623	413998,414374,416463,416701,418603,418885,421079,421476,422003,422433,422640,423688,423864,424164,424458,426712,428039,428386,431633,432307,432854,435589,436433,436734,440018,440291,440482,440828	celsr2	cadherin EGF LAG seven-pass G-type receptor 2 precursor	NM_001080577	NM_001080577-42|chr22(+)
NM_213077-43|chr22(+)	chr22	+	3857037	3887708	3862614	3885067	16	3857037,3862604,3865667,3867045,3869919,3871360,3872221,3875230,3877593,3878029,3880282,3882208,3882422,3883192,3883425,3884917	3857139,3862767,3865928,3867176,3870135,3871476,3872408,3875354,3877701,3878136,3880445,3882346,3882540,3883344,3883524,3887708	uhrf1	E3 ubiquitin-protein ligase UHRF1	NM_213077	NM_213077-43|chr22(+)
NM_001045311-44|chr22(+)	chr22	+	12082969	12201598	12105837	12198695	16	12082969,12105648,12150329,12156548,12158686,12160093,12163803,12165111,12167876,12180505,12187420,12193158,12193846,12196621,12196794,12198496	12083061,12106078,12150406,12156638,12158758,12160255,12163973,12165246,12168010,12180639,12187570,12193305,12193963,12196696,12196952,12201598	mgat5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	NM_001045311	NM_001045311-44|chr22(+)
NM_001045082-45|chr22(+)	chr22	+	16546698	16570419	16546698	16570419	26	16546698,16546908,16547104,16548020,16548211,16549410,16550042,16550284,16550423,16551323,16551484,16552583,16555048,16555222,16557388,16560009,16562679,16562852,16563462,16564456,16564646,16564828,16565045,16567374,16567579,16570316	16546822,16546994,16547179,16548132,16548297,16549555,16550110,16550329,16550497,16551387,16551586,16552706,16555130,16555329,16557551,16560202,16562755,16562987,16563560,16564570,16564736,16564955,16565159,16567498,16567670,16570419	osbpl1a	oxysterol-binding protein-related protein 1	NM_001045082	NM_001045082-45|chr22(+)
NM_198142-46|chr22(+)	chr22	+	19153513	19169789	19153659	19166648	8	19153513,19159091,19160361,19161428,19162707,19166428,19166587,19169625	19153729,19159257,19160450,19161565,19162987,19166453,19166661,19169789	bsg	basigin precursor	NM_198142	NM_198142-46|chr22(+)
NM_213097-47|chr22(+)	chr22	+	31663271	31698604	31663279	31697326	16	31663271,31663930,31665313,31668049,31668742,31668925,31675162,31679114,31685524,31685690,31686010,31690357,31690920,31693444,31693724,31697181	31663488,31664146,31665494,31668237,31668839,31669108,31675271,31679231,31685612,31685854,31686161,31690494,31691075,31693612,31693798,31698604	pla2g6	85 kDa calcium-independent phospholipase A2	NM_213097	NM_213097-47|chr22(+)
NM_199663-48|chr22(+)	chr22	+	32736950	32959356	32884958	32958805	17	32736950,32739850,32768383,32802064,32884930,32906878,32912888,32916461,32927463,32930577,32930859,32932927,32938781,32942201,32947681,32950277,32958557	32737008,32739932,32768475,32802117,32885153,32907017,32913040,32916542,32927613,32930721,32930958,32933101,32939033,32942318,32947765,32950380,32959356	add3a	gamma-adducin	NM_199663	NM_199663-48|chr22(+)
NM_001040043-49|chr22(+)	chr22	+	33728359	33733320	33730219	33733277	3	33728359,33730214,33733147	33728401,33730315,33733320	rpl32	60S ribosomal protein L32	NM_001040043	NM_001040043-49|chr22(+)
NM_001110526-50|chr22(+)	chr22	+	37974563	38010188	37974881	38009215	7	37974563,37987028,37998211,38004340,38005728,38006324,38009125	37975331,37987295,37998482,38004442,38005920,38006401,38010188	srf	serum response factor	NM_001110526	NM_001110526-50|chr22(+)
NM_182877-51|chr23(+)	chr23	+	1087822	1112993	1087829	1112881	11	1087822,1087981,1088762,1090239,1090682,1090908,1092647,1093610,1105979,1108717,1112353	1087878,1088125,1088891,1090383,1090794,1091104,1092743,1093731,1106147,1108842,1112993	slc34a2b	sodium-dependent phosphate transport protein 2B	NM_182877	NM_182877-51|chr23(+)
NM_001111167-52|chr23(+)	chr23	+	10253430	10269760	10253491	10269101	11	10253430,10262976,10263262,10263553,10265491,10265675,10267374,10267524,10267757,10268172,10269039	10253610,10263035,10263374,10263583,10265539,10265790,10267446,10267604,10267836,10268346,10269760	zgc:171775	uncharacterized protein LOC562552	NM_001111167	NM_001111167-52|chr23(+)
NM_001099237-53|chr23(+)	chr23	+	10503115	10555684	10503170	10554887	14	10503115,10511875,10517704,10523622,10525936,10526084,10527430,10530135,10532307,10537369,10537890,10541038,10541402,10554809	10503183,10512016,10517910,10523739,10525991,10526228,10527559,10530288,10532548,10537458,10538134,10541076,10541532,10555684	eif4ba	eukaryotic translation initiation factor 4Ba	NM_001099237	NM_001099237-53|chr23(+)
NM_001044343-54|chr23(+)	chr23	+	45466044	45494172	45466153	45493936	18	45466044,45469599,45473517,45474025,45475918,45476086,45478914,45479099,45479629,45480101,45483322,45487739,45489550,45490086,45491924,45492198,45493188,45493780	45466229,45469691,45473654,45474189,45475982,45476184,45479016,45479231,45479751,45480206,45483448,45487881,45489664,45490158,45492029,45492345,45493314,45494172	plod3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 precursor	NM_001044343	NM_001044343-54|chr23(+)
NM_001122623-55|chr23(+)	chr23	+	45615312	45625828	45618634	45625828	4	45615312,45618584,45622433,45625628	45615400,45618763,45622638,45625828	mogat3a	2-acylglycerol O-acyltransferase 1	NM_001122623	NM_001122623-55|chr23(+)
