# danRer7.unannotated.name	danRer7.unannotated.chrom	danRer7.unannotated.strand	danRer7.unannotated.txStart	danRer7.unannotated.txEnd	danRer7.unannotated.cdsStart	danRer7.unannotated.cdsEnd	danRer7.unannotated.exonCount	danRer7.unannotated.exonStarts	danRer7.unannotated.exonEnds	danRer7.unannotated.name2	danRer7.unannotated.product	danRer7.unannotated.mrnaAcc	danRer7.unannotated.protAcc
NM_001123258-ann-4320-unann-10	chr8	-	31020956	31164478	31020956	31164478	14	31020956,31043147,31089973,31090499,31100425,31107595,31110404,31110601,31123571,31132075,31157941,31159703,31159928,31163774	31021097,31043264,31090057,31090562,31100486,31107639,31110512,31110704,31123678,31132265,31158208,31159824,31160095,31164478	zgc:162939	aminopeptidase O	NM_001123258-ann-4320-unann-10	NM_001123258-ann-4320-unann-10
NM_001145684-ann-6659-unann-11	chr13	+	15192961	15357791	15192961	15357791	13	15192961,15194143,15194626,15231805,15243416,15281133,15288733,15308230,15351942,15353942,15354144,15355159,15357717	15193289,15194307,15194844,15232013,15243597,15281288,15288904,15308390,15352186,15354058,15354281,15355271,15357791	loxl3	lysyl oxidase homolog 3 precursor	NM_001145684-ann-6659-unann-11	NM_001145684-ann-6659-unann-11
NM_213549-ann-3562-unann-12	chr6	+	52756989	52798008	52756989	52798008	12	52756989,52759670,52763546,52763752,52767780,52768145,52780543,52782328,52783110,52792027,52792905,52797958	52757062,52760234,52763669,52763875,52767903,52768268,52780666,52782451,52783524,52792180,52793010,52798008	matn4	matrilin-2 precursor	NM_213549-ann-3562-unann-12	NM_213549-ann-3562-unann-12
NM_001098177-ann-3218-unann-13	chr6	-	7653568	7685993	7653568	7685993	39	7653568,7655941,7656895,7658758,7659043,7659284,7659609,7662130,7662582,7663760,7664725,7665064,7665984,7666178,7666733,7667437,7669279,7669613,7671207,7671478,7672198,7672406,7673465,7673722,7673927,7674363,7674836,7675057,7675350,7675601,7676585,7676894,7677414,7678005,7678148,7681689,7682045,7682157,7685666	7653677,7656114,7657004,7658967,7659167,7659373,7659738,7662292,7662795,7663973,7664974,7665217,7666089,7666385,7666878,7667650,7669451,7669737,7671345,7671685,7672330,7672515,7673626,7673792,7674049,7674554,7674951,7675231,7675524,7675873,7676681,7677038,7677513,7678069,7678241,7681783,7682073,7682314,7685993	myh9a	myosin-9	NM_001098177-ann-3218-unann-13	NM_001098177-ann-3218-unann-13
NM_131014-ann-6382-unann-14	chr12	+	14224677	14269900	14224677	14269900	53	14224677,14228789,14229338,14230247,14231118,14231279,14233543,14235965,14236126,14236432,14236950,14237301,14237448,14237684,14238259,14238419,14238571,14238707,14238898,14239047,14239178,14240981,14241156,14241288,14241471,14242081,14242255,14242392,14242514,14242678,14242849,14243102,14243248,14245384,14245581,14246503,14246673,14246883,14248011,14248161,14248812,14248973,14249135,14250242,14250398,14251289,14251452,14257928,14266055,14266222,14266603,14269437,14269895	14224750,14228840,14229380,14230301,14231175,14231327,14233594,14236019,14236177,14236480,14237004,14237349,14237502,14237735,14238307,14238473,14238622,14238755,14238952,14239098,14239226,14241035,14241207,14241336,14241525,14242129,14242309,14242443,14242562,14242732,14242900,14243156,14243302,14245435,14246187,14246563,14246727,14246928,14248071,14248197,14248875,14249039,14249195,14250302,14250467,14251358,14251521,14257997,14266130,14266261,14266849,14269488,14269900	cmn	calymmin precursor	NM_131014-ann-6382-unann-14	NM_131014-ann-6382-unann-14
NM_001139480-ann-8903-unann-15	chr18	-	35625809	35695100	35625809	35695100	7	35625809,35627774,35635056,35640592,35652898,35691101,35694899	35626048,35627887,35635190,35640765,35653017,35691337,35695100	yap1	yorkie homolog	NM_001139480-ann-8903-unann-15	NM_001139480-ann-8903-unann-15
NM_200600-ann-5319-unann-16	chr9	+	46673780	46735500	46673780	46735500	14	46673780,46677817,46685717,46689136,46691480,46695678,46698278,46701339,46701857,46705215,46705437,46707792,46734659,46735334	46673903,46677886,46685879,46689265,46691888,46695759,46698366,46701424,46701947,46705348,46705474,46707866,46734883,46735500	traf3ip1	TRAF3-interacting protein 1	NM_200600-ann-5319-unann-16	NM_200600-ann-5319-unann-16
NM_001004592-ann-6424-unann-17	chr12	-	18701288	18721015	18701288	18721015	18	18701288,18705030,18705762,18705901,18710301,18710618,18712894,18713427,18716275,18717702,18717949,18718146,18718303,18718950,18719184,18720393,18720541,18720795	18701393,18705202,18705811,18706532,18710533,18710717,18713055,18713516,18716506,18717866,18717978,18718224,18718381,18719031,18719218,18720450,18720723,18721015	dlgap5	disks large-associated protein 5	NM_001004592-ann-6424-unann-17	NM_001004592-ann-6424-unann-17
NM_001143901-ann-2656-unann-18	chr5	+	30078095	30133824	30078095	30133824	14	30078095,30088543,30088854,30089629,30103881,30104407,30107037,30107311,30107706,30110893,30111093,30112470,30124928,30133726	30078166,30088605,30089538,30089702,30103934,30104497,30107165,30107395,30107740,30110964,30111173,30112573,30125004,30133824	nelfb	nasal embryonic LHRH factor b	NM_001143901-ann-2656-unann-18	NM_001143901-ann-2656-unann-18
NM_001193381-ann-5144-unann-19	chr9	-	24268870	24275975	24268870	24275975	8	24268870,24270266,24270430,24272683,24272951,24274684,24275159,24275817	24270178,24270337,24270594,24272729,24273014,24274813,24275241,24275975	ccnt2a	cyclin-T2 isoform 1	NM_001193381-ann-5144-unann-19	NM_001193381-ann-5144-unann-19
NM_199828-ann-5145-unann-20	chr9	-	24268964	24275975	24268964	24275975	9	24268964,24269127,24270266,24270430,24272683,24272951,24274684,24275159,24275817	24269032,24270178,24270337,24270594,24272729,24273014,24274813,24275241,24275975	ccnt2a	cyclin-T2 isoform 2	NM_199828-ann-5145-unann-20	NM_199828-ann-5145-unann-20
NM_178297-ann-4691-unann-21	chr8	+	32285178	32290243	32285178	32290243	3	32285178,32285508,32289670	32285381,32285718,32290243	sepp1a	selenoprotein Pa precursor	NM_178297-ann-4691-unann-21	NM_178297-ann-4691-unann-21
NM_001002117-ann-8823-unann-22	chr17	-	41159102	41237007	41159102	41237007	7	41159102,41188251,41198702,41211755,41215604,41216230,41236951	41159276,41188440,41198794,41211818,41215668,41216363,41237007	rbks	ribokinase	NM_001002117-ann-8823-unann-22	NM_001002117-ann-8823-unann-22
NM_001025299-ann-8989-unann-23	chr18	-	232641	242906	232641	242906	9	232641,233508,235495,236305,236502,238923,239310,239549,242446	232818,233639,235593,236396,236697,239048,239469,239759,242906	slc27a2	solute carrier family 27 (fatty acid transporter), member 2	NM_001025299-ann-8989-unann-23	NM_001025299-ann-8989-unann-23
NM_131025-ann-4163-unann-24	chr7	+	54577590	54581649	54577590	54581649	4	54577590,54579185,54581264,54581496	54577788,54579401,54581413,54581649	ccnd1	G1/S-specific cyclin-D1	NM_131025-ann-4163-unann-24	NM_131025-ann-4163-unann-24
NM_001118893-ann-4845-unann-25	chr8	-	54270975	54369758	54270975	54369758	72	54270975,54274388,54274752,54275785,54278880,54279144,54279862,54280906,54282563,54283603,54284230,54287233,54288829,54290795,54293344,54293619,54293787,54294107,54295270,54297380,54301844,54304573,54304801,54306155,54307891,54310061,54312008,54312678,54314430,54315845,54317317,54320119,54320915,54321888,54323648,54324343,54326525,54328392,54328610,54329146,54332045,54333164,54333347,54335534,54335861,54336863,54339063,54340406,54341320,54343157,54346054,54346261,54348120,54348412,54349028,54351396,54352471,54355397,54356070,54357286,54359170,54359371,54359583,54361196,54361363,54362787,54362933,54364080,54364464,54366594,54366734,54369658	54271023,54274463,54274876,54275871,54278995,54279268,54279908,54281070,54282639,54283717,54284312,54287379,54288943,54290910,54293414,54293701,54293934,54294261,54295500,54297507,54301978,54304723,54304927,54306260,54308302,54310335,54312127,54312839,54314689,54315998,54317419,54320473,54321229,54321927,54323839,54324507,54326647,54328534,54328758,54329454,54332213,54333268,54333447,54335723,54335921,54336943,54339220,54340576,54341405,54343302,54346172,54346394,54348257,54348527,54349230,54351539,54352566,54355533,54356133,54357458,54359277,54359499,54359641,54361277,54361423,54362847,54363043,54364182,54364560,54366637,54366778,54369758	vps13a	vacuolar protein sorting 13 homolog A	NM_001118893-ann-4845-unann-25	NM_001118893-ann-4845-unann-25
NM_001123012-ann-8975-unann-26	chr18	-	42784074	42943401	42784074	42943401	16	42784074,42785618,42794004,42804960,42813908,42818533,42821236,42821478,42825465,42831141,42834763,42841724,42847550,42867391,42869881,42943329	42784176,42785795,42794087,42805134,42814008,42818662,42821395,42821553,42825599,42831309,42834969,42841966,42847663,42867521,42870055,42943401	aplp2	amyloid-like protein 2 precursor	NM_001123012-ann-8975-unann-26	NM_001123012-ann-8975-unann-26
NM_001115139-ann-4943-unann-27	chr9	+	39220320	39342296	39220320	39342296	38	39220320,39257783,39259748,39260240,39260586,39261832,39271371,39288430,39290653,39290929,39291112,39291766,39292976,39293162,39293960,39294782,39298951,39299665,39303662,39305743,39308085,39310579,39313852,39318398,39320768,39321912,39322187,39322353,39325444,39325982,39329689,39330424,39334699,39335849,39336569,39337739,39339048,39342209	39220515,39257862,39259852,39260332,39260662,39261930,39271442,39288574,39290730,39291022,39291258,39291902,39293047,39293222,39294038,39294950,39298998,39299836,39303770,39305770,39308241,39310687,39313956,39318628,39320835,39322076,39322266,39322497,39325588,39326089,39329837,39330669,39334713,39336022,39336698,39337946,39339165,39342296	LOC562077	CLIP-associating protein 1	NM_001115139-ann-4943-unann-27	NM_001115139-ann-4943-unann-27
NM_212976-ann-5173-unann-28	chr9	+	26364353	26379292	26364353	26379292	5	26364353,26367578,26374364,26374561,26379203	26364428,26367710,26374475,26374712,26379292	itm2bb	integral membrane protein 2Bb	NM_212976-ann-5173-unann-28	NM_212976-ann-5173-unann-28
NM_201109-ann-7619-unann-29	chr15	-	29810238	30114000	29810238	30114000	13	29810238,29816580,29831831,29876177,29886447,29915839,29991267,30095025,30106124,30112039,30113314,30113619,30113938	29810280,29816735,29832011,29876252,29886562,29915922,29991316,30095118,30106166,30112124,30113396,30113660,30114000	msi2b	musashi homolog 2	NM_201109-ann-7619-unann-29	NM_201109-ann-7619-unann-29
NM_201205-ann-4805-unann-30	chr8	-	49310368	49362198	49310368	49362198	5	49310368,49319196,49319342,49320921,49362132	49310449,49319237,49319430,49321014,49362198	ppih	peptidyl-prolyl cis-trans isomerase H isoform 2	NM_201205-ann-4805-unann-30	NM_201205-ann-4805-unann-30
NM_001009902-ann-4806-unann-31	chr8	-	49315662	49362198	49315662	49362198	5	49315662,49319196,49319342,49320921,49362132	49315731,49319237,49319430,49321014,49362198	ppih	peptidyl-prolyl cis-trans isomerase H isoform 1	NM_001009902-ann-4806-unann-31	NM_001009902-ann-4806-unann-31
NM_199933-ann-3400-unann-32	chr6	+	33631460	33645126	33631460	33645126	17	33631460,33632898,33634294,33634808,33635277,33637552,33638306,33639065,33639383,33641022,33641249,33641514,33642369,33642606,33642826,33643126,33644931	33631558,33633026,33634461,33635187,33635509,33637615,33638408,33639300,33639490,33641124,33641421,33641622,33642519,33642726,33642996,33643214,33645126	orc1	origin recognition complex subunit 1	NM_199933-ann-3400-unann-32	NM_199933-ann-3400-unann-32
NM_183339-ann-2307-unann-33	chr5	+	16907688	16918791	16907688	16918791	6	16907688,16910691,16911024,16911951,16913327,16918408	16908089,16910793,16911196,16912107,16913395,16918791	tbx1	T-box transcription factor TBX1	NM_183339-ann-2307-unann-33	NM_183339-ann-2307-unann-33
NM_201345-ann-7611-unann-34	chr15	-	24604907	24635710	24604907	24635710	9	24604907,24606554,24609937,24610489,24612349,24614893,24615297,24617581,24635678	24604981,24606656,24610166,24610592,24612518,24615100,24615372,24617666,24635710	pafah1b1a	lissencephaly-1 homolog A	NM_201345-ann-7611-unann-34	NM_201345-ann-7611-unann-34
NM_001037704-ann-8854-unann-35	chr17	+	45563670	45569793	45563670	45569793	3	45563670,45569379,45569616	45563805,45569483,45569793	nenf	neudesin precursor	NM_001037704-ann-8854-unann-35	NM_001037704-ann-8854-unann-35
NM_001013290-ann-8890-unann-36	chr17	+	53687331	53717051	53687331	53717051	6	53687331,53687447,53688457,53696145,53698337,53716942	53687354,53687539,53688651,53696219,53698456,53717051	zgc:110758	ATP-binding domain-containing protein 4	NM_001013290-ann-8890-unann-36	NM_001013290-ann-8890-unann-36
NM_001199365-ann-7979-unann-37	chr16	+	32526981	32621272	32526981	32621272	17	32526981,32537162,32539107,32542499,32544731,32552556,32552914,32553112,32555446,32555788,32557341,32557740,32564882,32570351,32590827,32592332,32619995	32527120,32537277,32539165,32542556,32544833,32552647,32553037,32553201,32555664,32555920,32557497,32557914,32565020,32570429,32590886,32592383,32621272	sema6e	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E precursor	NM_001199365-ann-7979-unann-37	NM_001199365-ann-7979-unann-37
NM_205673-ann-2769-unann-38	chr5	+	38496984	38498861	38496984	38498861	6	38496984,38497557,38497813,38498371,38498626,38498809	38497202,38497737,38497882,38498491,38498725,38498861	zgc:77155	splicing factor, arginine/serine-rich 7	NM_205673-ann-2769-unann-38	NM_205673-ann-2769-unann-38
NM_001080021-ann-6256-unann-39	chr12	+	25855646	26142022	25855646	26142022	21	25855646,25864624,25866467,25867260,25953663,25954731,25955984,25971776,25990364,26014891,26022927,26036723,26041727,26042193,26044013,26055791,26084367,26104362,26113253,26135205,26141720	25856358,25864642,25866497,25867272,25953965,25954776,25956146,25972221,25990748,26015095,26022954,26036846,26042109,26042384,26044187,26055911,26084549,26104534,26113570,26135287,26142022	nrxn1a	neurexin 1a precursor	NM_001080021-ann-6256-unann-39	NM_001080021-ann-6256-unann-39
NM_200076-ann-3165-unann-40	chr6	-	58824104	58877479	58824104	58877479	21	58824104,58825796,58833974,58836743,58837145,58841842,58845306,58848320,58849322,58851529,58851962,58852539,58855818,58857272,58857860,58858745,58859750,58864619,58866870,58875003,58877376	58824254,58825922,58834046,58836939,58837250,58841974,58845520,58848438,58849418,58851700,58852037,58852741,58856022,58857389,58857970,58858918,58859826,58864751,58866949,58875094,58877479	mars	methionyl-tRNA synthetase, cytoplasmic	NM_200076-ann-3165-unann-40	NM_200076-ann-3165-unann-40
NM_001143840-ann-5465-unann-41	chr10	+	1878296	1920569	1878296	1920569	15	1878296,1895215,1897630,1899981,1900636,1902041,1905889,1907803,1908845,1910277,1911633,1911861,1912363,1912564,1914244	1878431,1895300,1897805,1900090,1900750,1902125,1905976,1907902,1909224,1910373,1911773,1911939,1912480,1912779,1920569	apc	adenomatous polyposis coli protein	NM_001143840-ann-5465-unann-41	NM_001143840-ann-5465-unann-41
NM_001114580-ann-3259-unann-42	chr6	-	11692918	11711354	11692918	11711354	9	11692918,11695629,11697315,11698591,11701997,11706849,11707132,11708733,11711171	11693028,11695731,11697419,11698761,11703093,11707032,11707286,11708889,11711354	march7	E3 ubiquitin-protein ligase MARCH7	NM_001114580-ann-3259-unann-42	NM_001114580-ann-3259-unann-42
NM_001020781-ann-2749-unann-43	chr5	-	36743950	36818488	36743950	36818488	26	36743950,36745124,36746656,36747616,36750281,36750948,36753564,36755217,36755455,36763335,36763654,36766728,36777159,36778016,36778265,36779327,36779703,36781374,36788190,36793375,36796158,36796474,36798005,36798828,36804113,36818455	36743973,36745289,36746721,36747816,36750414,36751104,36753676,36755350,36755571,36763421,36763700,36766753,36777333,36778076,36778322,36779352,36779773,36781419,36788287,36793474,36796263,36796627,36798147,36798903,36804205,36818488	fcho2	FCH domain only protein 2	NM_001020781-ann-2749-unann-43	NM_001020781-ann-2749-unann-43
NM_213549-ann-3562-unann-44	chr6	+	52756989	52798008	52756989	52798008	12	52756989,52759670,52763546,52763752,52767780,52779676,52780543,52782328,52783110,52792027,52792905,52797958	52757062,52760234,52763669,52763875,52767903,52779799,52780666,52782451,52783524,52792180,52793010,52798008	matn4	matrilin-2 precursor	NM_213549-ann-3562-unann-44	NM_213549-ann-3562-unann-44
NM_212604-ann-3426-unann-45	chr6	-	37358465	37371124	37358465	37371124	11	37358465,37361096,37365467,37365599,37366788,37367762,37368224,37368483,37368680,37369333,37370962	37358480,37361235,37365520,37365721,37366941,37367840,37368359,37368593,37368776,37369415,37371124	cth	cystathionase (cystathionine gamma-lyase)	NM_212604-ann-3426-unann-45	NM_212604-ann-3426-unann-45
NM_001123320-ann-4428-unann-46	chr8	+	10244136	10336459	10244136	10336459	27	10244136,10244967,10249356,10251758,10252298,10254409,10254679,10259595,10259838,10260906,10261050,10264068,10265697,10266085,10276019,10277971,10280910,10281610,10284614,10287902,10291425,10293601,10300172,10303438,10305889,10326599,10336378	10244178,10245034,10249418,10251785,10252406,10254566,10254816,10259644,10259909,10260954,10261082,10264116,10265797,10266163,10276154,10278067,10281123,10281724,10284692,10287998,10291482,10293701,10300306,10303555,10305983,10326769,10336459	gripap1	GRIP1-associated protein 1 isoform 1	NM_001123320-ann-4428-unann-46	NM_001123320-ann-4428-unann-46
NM_001004110-ann-8538-unann-47	chr17	-	36854690	36985689	36854690	36985689	32	36854690,36856135,36867293,36870206,36880840,36892210,36901324,36907193,36912437,36912662,36912957,36917306,36919357,36921684,36922576,36922993,36924865,36933108,36933415,36940127,36951169,36958006,36960921,36965579,36968905,36969170,36969365,36972213,36972435,36978070,36979018,36985572	36854890,36856354,36867425,36870310,36881001,36892289,36901533,36907344,36912528,36912792,36913035,36917437,36919451,36921723,36922747,36923089,36924993,36933181,36933507,36940285,36951314,36958187,36960930,36965660,36969070,36969268,36969421,36972319,36972565,36978144,36979088,36985689	myo6b	myosin-VI	NM_001004110-ann-8538-unann-47	NM_001004110-ann-8538-unann-47
NM_001243038-ann-4072-unann-48	chr7	+	40290309	40342790	40290309	40342790	6	40290309,40316349,40321606,40338037,40340519,40342539	40290411,40316554,40321782,40338137,40340670,40342790	creb3l1	cyclic AMP-responsive element-binding protein 3-like protein 1	NM_001243038-ann-4072-unann-48	NM_001243038-ann-4072-unann-48
NM_212765-ann-4936-unann-49	chr9	+	35369353	35394707	35369353	35394707	29	35369353,35370030,35370385,35370580,35370857,35371144,35371972,35372286,35372494,35373124,35373763,35373986,35376025,35376275,35377928,35378157,35379188,35379437,35380127,35380732,35381274,35384002,35386565,35387432,35387741,35388451,35390329,35390667,35394633	35369523,35370057,35370491,35370754,35370987,35371273,35372080,35372419,35372645,35373236,35373889,35374065,35376185,35376470,35378063,35378234,35379349,35379584,35380219,35380885,35381544,35384219,35386748,35387659,35387921,35388559,35390455,35390857,35394707	med14	mediator of RNA polymerase II transcription	NM_212765-ann-4936-unann-49	NM_212765-ann-4936-unann-49
NM_001113339-ann-6965-unann-50	chr13	+	30732952	30791752	30732952	30791752	20	30732952,30744460,30775040,30775797,30775995,30776513,30776802,30777179,30779144,30779335,30779845,30781964,30782411,30782623,30785270,30785439,30785629,30786123,30788607,30791644	30732967,30744566,30775176,30775912,30776213,30776709,30777093,30777362,30779213,30779504,30779987,30782175,30782517,30782784,30785338,30785508,30785880,30786290,30788865,30791752	zmiz1	zinc finger MIZ domain-containing protein 1	NM_001113339-ann-6965-unann-50	NM_001113339-ann-6965-unann-50
NM_001080188-ann-5444-unann-51	chr10	+	41650197	41680014	41650197	41680014	19	41650197,41653438,41656552,41656751,41657004,41659203,41661970,41662151,41662385,41662558,41662721,41662904,41664715,41666674,41667108,41670012,41673642,41677330,41679834	41650249,41653572,41656665,41656857,41657091,41659334,41662065,41662197,41662437,41662631,41662819,41663016,41664858,41666827,41667318,41670095,41673831,41677394,41680014	git2b	G protein-coupled receptor kinase interacting	NM_001080188-ann-5444-unann-51	NM_001080188-ann-5444-unann-51
NM_214775-ann-8307-unann-52	chr16	-	34122823	34141209	34122823	34141209	11	34122823,34122972,34123125,34125671,34126233,34126487,34127887,34129237,34130066,34134624,34141122	34122868,34123054,34123196,34125711,34126375,34126547,34127980,34129291,34130246,34134861,34141209	rbfox1l	RNA binding protein fox-1 homolog 1-like	NM_214775-ann-8307-unann-52	NM_214775-ann-8307-unann-52
NM_001243004-ann-6703-unann-53	chr13	-	46911931	47032866	46911931	47032866	15	46911931,46915188,46917089,46923614,46929591,46930943,46933158,46945665,46954592,46957471,46962343,46967805,46979758,46985513,47032754	46912096,46915294,46917227,46923685,46929714,46931134,46933269,46945787,46954732,46957674,46962488,46967996,46979882,46985683,47032866	fgfr2	fibroblast growth factor receptor 2 isoform 1 precursor	NM_001243004-ann-6703-unann-53	NM_001243004-ann-6703-unann-53
NM_178303-ann-6704-unann-54	chr13	-	46911931	47032866	46911931	47032866	15	46911931,46915188,46917089,46923614,46929591,46930943,46933158,46945665,46954592,46957477,46962343,46967805,46979758,46985513,47032754	46912096,46915294,46917227,46923685,46929714,46931134,46933269,46945787,46954732,46957674,46962488,46967996,46979882,46985683,47032866	fgfr2	fibroblast growth factor receptor 2 isoform 3 precursor	NM_178303-ann-6704-unann-54	NM_178303-ann-6704-unann-54
NM_001243005-ann-6706-unann-55	chr13	-	46911931	47032866	46911931	47032866	15	46911931,46915188,46917089,46923614,46929591,46930943,46933158,46945665,46954592,46957471,46964560,46967805,46979758,46985513,47032754	46912096,46915294,46917227,46923685,46929714,46931134,46933269,46945787,46954732,46957674,46964699,46967996,46979882,46985683,47032866	fgfr2	fibroblast growth factor receptor 2 isoform 2 precursor	NM_001243005-ann-6706-unann-55	NM_001243005-ann-6706-unann-55
NM_001006038-ann-7562-unann-56	chr14	-	53365583	53366820	53365583	53366820	2	53365583,53366716	53365677,53366820	zgc:103433	V-type proton ATPase subunit e 1	NM_001006038-ann-7562-unann-56	NM_001006038-ann-7562-unann-56
NM_001145584-ann-6654-unann-57	chr13	+	12670248	12854267	12670248	12854267	83	12670248,12672868,12673073,12673633,12675273,12677802,12685152,12689307,12693187,12695428,12695752,12697874,12700640,12700838,12703145,12703384,12703658,12709925,12711987,12716522,12716748,12720779,12721096,12726508,12730016,12730330,12735036,12737374,12737531,12738953,12739156,12739395,12743285,12744043,12752651,12752935,12756290,12756571,12760903,12762541,12763255,12768454,12771743,12772022,12773696,12775855,12776399,12780209,12780501,12782511,12782852,12785037,12785221,12786473,12787205,12788292,12789761,12789905,12793640,12793866,12794084,12795476,12801261,12809204,12812618,12815232,12816112,12818712,12818933,12824388,12824692,12826870,12830133,12831877,12832126,12836461,12836725,12839760,12840816,12843754,12844048,12849524,12854047	12670339,12672985,12673152,12673698,12675448,12677884,12685346,12689387,12693335,12695585,12695831,12697966,12700758,12700994,12703243,12703566,12703765,12710119,12712197,12716660,12716925,12720908,12721216,12726789,12730261,12730541,12735832,12737445,12737705,12739074,12739303,12739517,12743470,12744265,12752863,12753087,12756441,12756724,12761138,12762687,12763481,12768619,12771922,12772198,12774412,12776101,12776493,12780416,12780731,12782741,12782958,12785135,12785407,12786642,12787417,12788491,12789821,12790132,12793771,12793990,12794200,12795546,12801494,12809405,12812799,12815428,12816274,12818852,12819126,12824592,12824869,12827007,12830347,12832028,12832284,12836651,12836943,12840012,12841020,12843949,12844183,12849702,12854267	si:ch211-233a24.2	fragile site-associated protein	NM_001145584-ann-6654-unann-57	NM_001145584-ann-6654-unann-57
NM_214774-ann-7514-unann-58	chr14	-	43004135	43011700	43004135	43011700	6	43004135,43006067,43006717,43006895,43007836,43011613	43004204,43006229,43006807,43006970,43008025,43011700	tspan7	tetraspanin-6	NM_214774-ann-7514-unann-58	NM_214774-ann-7514-unann-58
